,Anime,Live-action
Speed Racer ,7.1,6.1
Death Note,9,7.9
Pretty Guardian Sailor Moon ,7.9,7.6
Black Butler,8,6.3
"
Ghost in the Shell",8,6.9
Dragon Ball: Evolution:,8.7,2.7
Terra Formars ,6.8,4.8
Gatchaman ,8,5.1
